"日期","支付金额","访客数","支付转化率","客单价","成功退款金额","直通车消耗","超级推荐消耗","钻石展位消耗","淘宝客佣金","支付买家数","支付老买家数","老买家支付金额","支付子订单数","支付件数","加购人数","加购件数","商品收藏人数","浏览量"
"2021-02-01","79,458.24","5,400","3.91%","376.58","3,437.69","2,962.93","600","692.1703800000007","0","211","40","15,887.08","222","1,102","252","282","145","15,283"
"2021-01-31","111,028.31","5,722","5.44%","357","3,516.7","2,252.62","387.85","691.4644799999996","0","311","72","31,365.03","336","392","302","406","198","17,320"
"2021-01-30","105,202.52","5,158","5.66%","360.28","9,350.97","1,873.48","196.09","698.5339100000003","0","292","66","28,154.27","314","383","293","347","170","15,714"
"2021-01-29","99,555.28","4,195","6.41%","370.09","4,236.37","1,580.37","193.38","644.0589299999996","0","269","44","20,863.23","297","404","258","297","172","14,314"
"2021-01-28","102,456.45","4,771","6.48%","331.57","11,568.87","1,606.46","191.52","711.5692199999999","0","309","47","17,455.9","329","360","305","1,268","204","16,184"
"2021-01-27","119,979.36","4,972","6.52%","370.31","98,327.01","1,454.44","216.34","766.6758899999995","0","324","62","24,779.69","343","441","319","388","206","15,760"
"2021-01-26","118,262.86","4,964","6.29%","379.05","284,849.89","1,256.96","208","611.1726600000002","0","312","63","32,175.7","328","533","321","1,044","172","16,767"
"2021-01-25","154,125.32","5,399","7.8%","366.09","5,119.42","1,696.43","0","533.7653499999999","0","421","93","40,821.84","460","502","385","490","217","19,454"
"2021-01-24","135,397.57","5,014","7.62%","354.44","4,719.47","1,155.95","85.26","733.3146500000001","0","382","81","26,561.77","407","744","363","468","192","18,086"
"2021-01-23","184,363.69","4,928","7.87%","475.16","93,466.14","1,736.14","408.7","544.1242199999997","0","388","86","80,845.87","415","571","391","480","205","18,473"
"2021-01-22","224,346.84","5,266","7.61%","559.47","74,798.59","2,147.59","0","755.64612","0","401","77","118,870.75","426","467","405","487","237","19,215"
"2021-01-21","255,984.51","5,909","7.16%","605.16","3,533.96","2,905.98","546.45","1,140.26796","0","423","85","145,175.56","446","583","456","551","227","21,074"
"2021-01-20","806,426.33","6,785","11.26%","1,055.53","12,306.03","2,543.33","803.24","1,634.2682900000004","0","764","248","627,118.68","850","2,971","612","1,264","255","27,305"
"2021-01-19","86,203.16","6,555","2.91%","451.33","3,478.27","2,611.09","1,531.67","2,195.2014900000004","0","191","25","15,468.95","239","287","754","1,751","301","23,599"
"2021-01-18","91,545.49","4,401","4.54%","457.73","2,396.91","1,344.49","457.55","812.38248","0","200","23","8,737.22","262","330","413","484","227","15,771"
"2021-01-17","84,553.81","4,212","4.91%","408.47","3,189.27","1,654.5","208.38","379.74508000000003","0","207","34","12,164.51","277","383","426","546","230","16,312"
"2021-01-16","109,229.16","5,111","5.17%","413.75","4,133.18","1,737.01","194.15","532.35849","0","264","48","26,507.49","318","581","308","390","199","15,693"
"2021-01-15","137,322.71","3,950","6.63%","524.13","4,287.71","1,009.37","195.32","313.04006000000004","0","262","47","24,558.64","380","489","284","353","174","14,188"
"2021-01-14","136,213.72","4,249","6.5%","493.53","4,227.35","1,312.06","682.1","492.4259299999999","0","276","45","20,126.6","388","598","297","396","195","15,165"
"2021-01-13","117,499.98","4,230","5.79%","479.59","4,224.69","1,352.68","587.8","403.98035000000004","0","245","37","27,298.96","305","397","327","430","171","14,697"
"2021-01-12","148,708","4,303","6.37%","542.73","4,127.46","1,455.53","578.01","367.27045999999996","0","274","55","24,178.13","292","862","311","394","187","14,897"
"2021-01-11","101,915.21","4,463","6.23%","366.6","3,700.88","1,283.01","383.24","555.6687399999996","0","278","62","27,134.09","301","315","338","391","220","16,879"
"2021-01-10","114,705.59","4,301","6.35%","420.17","3,438.62","1,081.21","389.66","523.7956200000001","0","273","53","29,985.49","297","691","340","391","233","15,806"
"2021-01-09","133,256.41","4,096","6.57%","495.38","4,920.37","977.66","780.18","512.4014500000001","0","269","56","53,087.88","397","566","325","396","229","15,575"
"2021-01-08","119,705.68","3,627","6.01%","549.11","4,723.22","1,102.73","583.1","453.6793200000001","0","218","42","27,729.16","300","374","283","490","212","14,581"
"2021-01-07","130,349.53","3,591","6.4%","566.74","18,101.72","887.46","595.3","403.1710199999999","0","230","40","16,581.4","269","610","283","342","240","14,195"
"2021-01-06","115,742.36","4,037","6.91%","414.85","9,981.08","999.33","838.5","382.85579000000007","0","279","41","14,139.3","291","340","356","426","280","15,596"
"2021-01-05","106,041.21","4,269","6.21%","400.16","3,486.85","621.51","806.22","252.05301999999995","0","265","44","20,778.43","286","434","331","365","259","15,978"
"2021-01-04","198,779.02","4,114","5.91%","818.02","2,622.1","768.53","460.8","344.22505999999987","0","243","41","20,405.24","257","306","326","425","235","15,795"
"2021-01-03","119,158.16","3,280","6.4%","567.42","1,882.9","571.51","289.24","384.8957099999999","0","210","34","30,477.05","280","435","276","361","225","12,868"
""
""
""
