商品ID,商品名称
3724690734171947098,【念念不忘】33朵高原红玫瑰蝴蝶兰混搭花束送女朋友老婆爱人
3724693409936572580,【快乐修勾】白色康乃馨小狗花束生日鲜花礼物附近花店送花上门
3724693216612712597,【温暖的光】白乒乓粉雪山玫瑰白玫瑰康乃馨桔梗混搭花束送女朋友
3724691062812442971,【乌梅子】11朵曼塔玫瑰乌梅子酱玫瑰花束韩式见面小花束生日鲜花
3724689142802677935,【落雪玫瑰】19朵高原红玫瑰落雪玫瑰送女朋友老婆爱人见面花束鲜花
3724689454330413314,【马耳他蓝】11朵白玫瑰喷色马耳他蓝蝴蝶兰混搭花束送男朋友老公
3724484693954003439,【秋日来信】9朵卡布奇诺玫瑰鲜花混搭巧克力泡泡手提花篮生日鲜花
3724687985493541261,【落雪】10朵高原红玫瑰落雪玫瑰送女朋友老婆见面小花束附近花店
3724634805166539058,【热可可】11朵卡布奇诺玫瑰巧克力泡泡混搭韩式花束ins风
3724692772133929079,【午后红茶】【送礼物袋】11朵粉雪山玫瑰混搭折射泡泡生日鲜花礼物
3724691801412600044,【长乐未央】33朵乌梅子酱曼塔玫瑰爱心型花束送女朋友老婆闺蜜
3724693345486897484,【梦境花园】52朵粉雪山玫瑰+5朵郁金香蝴蝶兰混搭蓝星花翠珠生日
3728355440728342625,【星河入梦】52朵碎冰蓝玫瑰花束生日礼物鲜花纪念日求婚花束送女朋友老婆闺蜜
3726690554789101924,【莓有烦恼】19颗草莓巧克力泡泡玫瑰花草莓抱抱桶生日帽熊送女朋友
3725022187518820728,【属于我的落雪】99朵落雪红玫瑰银河极光玫瑰送女朋友老婆爱人
3724694176688898329,【以爱之名】199朵粉雪山玫瑰白玫瑰混搭8朵蝴蝶兰蓝星花生日鲜花
3724692759148364063,【焦糖玛奇朵】33朵曼塔玫瑰喷色卡布奇诺送女朋友老婆闺蜜生日鲜花
3725206428714139885,【人鱼妖姬】52朵人鱼妖姬玫瑰生日鲜花抱抱桶不含气球（气球单买）
3725026248368456041,【山茶花日记】粉雪山玫瑰香槟白玫白罗兰桔梗鲜花混搭送女朋友老婆
3724694567522533554,【爱你超甜】52朵粉雪山玫瑰蝴蝶兰芭蕾风花束送女朋友老婆闺蜜生日
3725206604883297067,【黑骑士】52朵黑骑士玫瑰抱抱桶送男朋友朋友鲜花抱抱桶不含气球
3725206516668694581,【甜梦花园】21枝曼塔玫瑰抱抱桶送女朋友闺蜜生日礼物鲜花
3725021693555638362,【极光星河】52朵落雪红玫瑰银河玫瑰送女朋友老婆爱人生日鲜花礼物
3724694887388545058,【旷野之息】52朵曼塔玫瑰花束蔷薇粉喷色送女朋友老婆闺蜜生日鲜花
3724693429322645763,【午夜巴黎】52朵曼塔玫瑰喷色卡布奇诺送女朋友老婆闺蜜生日礼物
3726691291191443814,【甜心草莓】22颗草莓巧克力泡泡玫瑰花草莓抱抱桶小熊玩偶花束
3727236335417819484,【雾野告白】33朵曼塔玫瑰爱心型花束送女朋友老婆闺蜜生日鲜花礼物附近花店
3725206542539161979,【乌梅子】11朵曼塔玫瑰乌梅子酱玫瑰花束韩式见面小花束生日鲜花
3725026016423444824,【爱的抱抱】11朵卡布奇诺玫瑰混搭小熊玩偶花束送女朋友生日礼物
3724695153626185985,【千古旧约】99朵卡布奇诺玫瑰混搭蝴蝶兰蓝星花巧克力泡泡花束
3728355659712954580,【仙气飘飘】33朵粉雪山玫瑰芭蕾风花束生日鲜花礼物送女朋友老婆闺蜜附近花店送花上门
